Dataset,K,Repetition,Seed,Model,TunedParameters,DataBudgetProtocol,Method,Epsilon,Alpha,Accuracy,Unfairness,OptimizerSuccess,OptimizerStatus,OptimizerMessage,OptimizerIterations,PostprocessRuntimeSeconds,Convergence,SolverResidual,ProjectionRho,ProjectionMaxIterRequested,ProjectionDivergence,ProjectionMethod,TransportCalibrationDPGap,TransportObjective,TransportMIPSolver,TransportQPSolver
DRUG,4,0,777,GBM,"{'reg_lambda': 50, 'reg_alpha': 10, 'num_leaves': np.int64(37), 'n_estimators': np.int64(98), 'min_child_samples': np.int64(61), 'max_depth': np.int64(14)}",paper,FairProjection,,0.2,0.46153846153846156,0.2033157326974394,True,completed_without_exception,convergence_not_observable,,0.041021178010851145,convergence_not_observable,,2.0,1.0,cross-entropy,tf,,,,
DRUG,4,0,777,GBM,"{'reg_lambda': 50, 'reg_alpha': 10, 'num_leaves': np.int64(37), 'n_estimators': np.int64(98), 'min_child_samples': np.int64(61), 'max_depth': np.int64(14)}",paper,FairProjection,,0.5,0.4588859416445623,0.20817010162947824,True,completed_without_exception,convergence_not_observable,,0.038310564996208996,convergence_not_observable,,2.0,1.0,cross-entropy,tf,,,,
DRUG,4,0,777,GBM,"{'reg_lambda': 50, 'reg_alpha': 10, 'num_leaves': np.int64(37), 'n_estimators': np.int64(98), 'min_child_samples': np.int64(61), 'max_depth': np.int64(14)}",paper,FairProjection,,0.75,0.4588859416445623,0.20817010162947824,True,completed_without_exception,convergence_not_observable,,0.040298553998582065,convergence_not_observable,,2.0,1.0,cross-entropy,tf,,,,
DRUG,4,0,777,GBM,"{'reg_lambda': 50, 'reg_alpha': 10, 'num_leaves': np.int64(37), 'n_estimators': np.int64(98), 'min_child_samples': np.int64(61), 'max_depth': np.int64(14)}",paper,Fair-transport,,0.0,0.46419098143236076,0.12283540566626922,True,completed_without_exception,optimal,,0.06325737098813988,optimal,,,,,,2.9021448993971077e-08,0.5501458845175716,CLARABEL,OSQP
CRIME,5,0,1777,reglog,{},paper,Unfair,,,0.49373433583959897,0.5768411982360991,True,not_applicable,not applicable,0.0,0.0,not_applicable,,,,,,,,,
CRIME,5,0,1777,reglog,{},paper,Our Eps-Fair,0.0,,0.38095238095238093,0.07390136347508744,True,0,Optimization terminated successfully,21.0,0.03012306900927797,completed_without_exception,,,,,,,,,
CRIME,5,0,1777,reglog,{},paper,Our Eps-Fair,0.1,,0.41102756892230574,0.19544832480105429,True,0,Optimization terminated successfully,17.0,0.025306056995759718,completed_without_exception,,,,,,,,,
CRIME,5,0,1777,reglog,{},paper,Our Eps-Fair,0.2,,0.40852130325814534,0.27738354706269963,True,0,Optimization terminated successfully,22.0,0.032144552998943254,completed_without_exception,,,,,,,,,
CRIME,5,0,1777,reglog,{},paper,Our Eps-Fair,0.3,,0.42857142857142855,0.3458107354655583,True,0,Optimization terminated successfully,9.0,0.013127760001225397,completed_without_exception,,,,,,,,,
CRIME,5,0,1777,reglog,{},paper,Our Eps-Fair,0.4,,0.47869674185463656,0.450326929900147,True,0,Optimization terminated successfully,14.0,0.020773776996065862,completed_without_exception,,,,,,,,,
CRIME,5,0,1777,reglog,{},paper,Our Eps-Fair,0.5,,0.49874686716791977,0.5355567945663744,True,0,Optimization terminated successfully,4.0,0.007847469998523593,completed_without_exception,,,,,,,,,
CRIME,5,0,1777,reglog,{},paper,FairProjection,,0.0,0.49624060150375937,0.5539054184195854,True,completed_without_exception,convergence_not_observable,,0.056444763016770594,convergence_not_observable,,2.0,1.0,cross-entropy,tf,,,,
CRIME,5,0,1777,reglog,{},paper,FairProjection,,0.1,0.49624060150375937,0.5493182624562827,True,completed_without_exception,convergence_not_observable,,0.045691068007727154,convergence_not_observable,,2.0,1.0,cross-entropy,tf,,,,
CRIME,5,0,1777,reglog,{},paper,FairProjection,,0.2,0.49874686716791977,0.5493182624562827,True,completed_without_exception,convergence_not_observable,,0.047080548014491796,convergence_not_observable,,2.0,1.0,cross-entropy,tf,,,,
CRIME,5,0,1777,reglog,{},paper,FairProjection,,0.5,0.49874686716791977,0.5493182624562827,True,completed_without_exception,convergence_not_observable,,0.04767270898446441,convergence_not_observable,,2.0,1.0,cross-entropy,tf,,,,
CRIME,5,0,1777,reglog,{},paper,FairProjection,,0.75,0.49874686716791977,0.5493182624562827,True,completed_without_exception,convergence_not_observable,,0.05552469099347945,convergence_not_observable,,2.0,1.0,cross-entropy,tf,,,,
CRIME,5,0,1777,reglog,{},paper,Fair-transport,,0.0,0.38847117794486213,0.08697855948096711,True,completed_without_exception,optimal,,0.08758803199452814,optimal,,,,,,8.81905609650957e-09,0.623626250833415,CLARABEL,OSQP
CRIME,5,0,1777,RF,"{'n_estimators': np.int64(191), 'min_samples_split': np.int64(5), 'min_samples_leaf': np.int64(1), 'max_depth': np.int64(15)}",paper,Unfair,,,0.5112781954887218,0.5053221146535557,True,not_applicable,not applicable,0.0,0.0,not_applicable,,,,,,,,,
CRIME,5,0,1777,RF,"{'n_estimators': np.int64(191), 'min_samples_split': np.int64(5), 'min_samples_leaf': np.int64(1), 'max_depth': np.int64(15)}",paper,Our Eps-Fair,0.0,,0.41353383458646614,0.12550053221146534,True,0,Optimization terminated successfully,22.0,0.029395005010883324,completed_without_exception,,,,,,,,,
CRIME,5,0,1777,RF,"{'n_estimators': np.int64(191), 'min_samples_split': np.int64(5), 'min_samples_leaf': np.int64(1), 'max_depth': np.int64(15)}",paper,Our Eps-Fair,0.1,,0.44360902255639095,0.18642607329312183,True,0,Optimization terminated successfully,21.0,0.027972761003184132,completed_without_exception,,,,,,,,,
CRIME,5,0,1777,RF,"{'n_estimators': np.int64(191), 'min_samples_split': np.int64(5), 'min_samples_leaf': np.int64(1), 'max_depth': np.int64(15)}",paper,Our Eps-Fair,0.2,,0.48120300751879697,0.26643519691824213,True,0,Optimization terminated successfully,24.0,0.03260494000278413,completed_without_exception,,,,,,,,,
CRIME,5,0,1777,RF,"{'n_estimators': np.int64(191), 'min_samples_split': np.int64(5), 'min_samples_leaf': np.int64(1), 'max_depth': np.int64(15)}",paper,Our Eps-Fair,0.3,,0.47869674185463656,0.3573419838815956,True,0,Optimization terminated successfully,19.0,0.026226169997244142,completed_without_exception,,,,,,,,,
CRIME,5,0,1777,RF,"{'n_estimators': np.int64(191), 'min_samples_split': np.int64(5), 'min_samples_leaf': np.int64(1), 'max_depth': np.int64(15)}",paper,Our Eps-Fair,0.4,,0.5087719298245614,0.43740179431294035,True,0,Optimization terminated successfully,14.0,0.018946409996715374,completed_without_exception,,,,,,,,,
CRIME,5,0,1777,RF,"{'n_estimators': np.int64(191), 'min_samples_split': np.int64(5), 'min_samples_leaf': np.int64(1), 'max_depth': np.int64(15)}",paper,Our Eps-Fair,0.5,,0.5112781954887218,0.5053221146535557,True,0,Optimization terminated successfully,1.0,0.0014829510037088767,completed_without_exception,,,,,,,,,
CRIME,5,0,1777,RF,"{'n_estimators': np.int64(191), 'min_samples_split': np.int64(5), 'min_samples_leaf': np.int64(1), 'max_depth': np.int64(15)}",paper,FairProjection,,0.0,0.5037593984962406,0.4869734908003447,True,completed_without_exception,convergence_not_observable,,0.10145632701460272,convergence_not_observable,,2.0,1.0,cross-entropy,tf,,,,
CRIME,5,0,1777,RF,"{'n_estimators': np.int64(191), 'min_samples_split': np.int64(5), 'min_samples_leaf': np.int64(1), 'max_depth': np.int64(15)}",paper,FairProjection,,0.1,0.5037593984962406,0.4869734908003447,True,completed_without_exception,convergence_not_observable,,0.09781423999811523,convergence_not_observable,,2.0,1.0,cross-entropy,tf,,,,
CRIME,5,0,1777,RF,"{'n_estimators': np.int64(191), 'min_samples_split': np.int64(5), 'min_samples_leaf': np.int64(1), 'max_depth': np.int64(15)}",paper,FairProjection,,0.2,0.5037593984962406,0.4869734908003447,True,completed_without_exception,convergence_not_observable,,0.09593662100087386,convergence_not_observable,,2.0,1.0,cross-entropy,tf,,,,
CRIME,5,0,1777,RF,"{'n_estimators': np.int64(191), 'min_samples_split': np.int64(5), 'min_samples_leaf': np.int64(1), 'max_depth': np.int64(15)}",paper,FairProjection,,0.5,0.5037593984962406,0.4869734908003447,True,completed_without_exception,convergence_not_observable,,0.09637212098459713,convergence_not_observable,,2.0,1.0,cross-entropy,tf,,,,
CRIME,5,0,1777,RF,"{'n_estimators': np.int64(191), 'min_samples_split': np.int64(5), 'min_samples_leaf': np.int64(1), 'max_depth': np.int64(15)}",paper,FairProjection,,0.75,0.5037593984962406,0.4869734908003447,True,completed_without_exception,convergence_not_observable,,0.09740348400373477,convergence_not_observable,,2.0,1.0,cross-entropy,tf,,,,
CRIME,5,0,1777,RF,"{'n_estimators': np.int64(191), 'min_samples_split': np.int64(5), 'min_samples_leaf': np.int64(1), 'max_depth': np.int64(15)}",paper,Fair-transport,,0.0,0.42355889724310775,0.11538851436970957,True,completed_without_exception,optimal,,0.08472127401910257,optimal,,,,,,5.922957235782178e-09,0.6155554028218089,CLARABEL,OSQP
CRIME,5,0,1777,GBM,"{'reg_lambda': 0.1, 'reg_alpha': 10, 'num_leaves': np.int64(45), 'n_estimators': np.int64(177), 'min_child_samples': np.int64(44), 'max_depth': np.int64(12)}",paper,Unfair,,,0.49874686716791977,0.47795123929241223,True,not_applicable,not applicable,0.0,0.0,not_applicable,,,,,,,,,
CRIME,5,0,1777,GBM,"{'reg_lambda': 0.1, 'reg_alpha': 10, 'num_leaves': np.int64(45), 'n_estimators': np.int64(177), 'min_child_samples': np.int64(44), 'max_depth': np.int64(12)}",paper,Our Eps-Fair,0.0,,0.41604010025062654,0.12861777079426226,True,0,Optimization terminated successfully,20.0,0.027361810993170366,completed_without_exception,,,,,,,,,
CRIME,5,0,1777,GBM,"{'reg_lambda': 0.1, 'reg_alpha': 10, 'num_leaves': np.int64(45), 'n_estimators': np.int64(177), 'min_child_samples': np.int64(44), 'max_depth': np.int64(12)}",paper,Our Eps-Fair,0.1,,0.44862155388471175,0.22880024329666987,True,0,Optimization terminated successfully,18.0,0.025152045011054724,completed_without_exception,,,,,,,,,
CRIME,5,0,1777,GBM,"{'reg_lambda': 0.1, 'reg_alpha': 10, 'num_leaves': np.int64(45), 'n_estimators': np.int64(177), 'min_child_samples': np.int64(44), 'max_depth': np.int64(12)}",paper,Our Eps-Fair,0.2,,0.46115288220551376,0.3114704242485681,True,0,Optimization terminated successfully,23.0,0.03412197400757577,completed_without_exception,,,,,,,,,
CRIME,5,0,1777,GBM,"{'reg_lambda': 0.1, 'reg_alpha': 10, 'num_leaves': np.int64(45), 'n_estimators': np.int64(177), 'min_child_samples': np.int64(44), 'max_depth': np.int64(12)}",paper,Our Eps-Fair,0.3,,0.47869674185463656,0.394241978812915,True,0,Optimization terminated successfully,13.0,0.018498952995287254,completed_without_exception,,,,,,,,,
CRIME,5,0,1777,GBM,"{'reg_lambda': 0.1, 'reg_alpha': 10, 'num_leaves': np.int64(45), 'n_estimators': np.int64(177), 'min_child_samples': np.int64(44), 'max_depth': np.int64(12)}",paper,Our Eps-Fair,0.4,,0.49373433583959897,0.4724263774139591,True,0,Optimization terminated successfully,12.0,0.01717358099995181,completed_without_exception,,,,,,,,,
CRIME,5,0,1777,GBM,"{'reg_lambda': 0.1, 'reg_alpha': 10, 'num_leaves': np.int64(45), 'n_estimators': np.int64(177), 'min_child_samples': np.int64(44), 'max_depth': np.int64(12)}",paper,Our Eps-Fair,0.5,,0.49874686716791977,0.47795123929241223,True,0,Optimization terminated successfully,1.0,0.0017451710009481758,completed_without_exception,,,,,,,,,
CRIME,5,0,1777,GBM,"{'reg_lambda': 0.1, 'reg_alpha': 10, 'num_leaves': np.int64(45), 'n_estimators': np.int64(177), 'min_child_samples': np.int64(44), 'max_depth': np.int64(12)}",paper,FairProjection,,0.0,0.5037593984962406,0.47795123929241223,True,completed_without_exception,convergence_not_observable,,0.05236180001520552,convergence_not_observable,,2.0,1.0,cross-entropy,tf,,,,
CRIME,5,0,1777,GBM,"{'reg_lambda': 0.1, 'reg_alpha': 10, 'num_leaves': np.int64(45), 'n_estimators': np.int64(177), 'min_child_samples': np.int64(44), 'max_depth': np.int64(12)}",paper,FairProjection,,0.1,0.5037593984962406,0.47795123929241223,True,completed_without_exception,convergence_not_observable,,0.05093335499987006,convergence_not_observable,,2.0,1.0,cross-entropy,tf,,,,
CRIME,5,0,1777,GBM,"{'reg_lambda': 0.1, 'reg_alpha': 10, 'num_leaves': np.int64(45), 'n_estimators': np.int64(177), 'min_child_samples': np.int64(44), 'max_depth': np.int64(12)}",paper,FairProjection,,0.2,0.5037593984962406,0.47795123929241223,True,completed_without_exception,convergence_not_observable,,0.052793574999668635,convergence_not_observable,,2.0,1.0,cross-entropy,tf,,,,
CRIME,5,0,1777,GBM,"{'reg_lambda': 0.1, 'reg_alpha': 10, 'num_leaves': np.int64(45), 'n_estimators': np.int64(177), 'min_child_samples': np.int64(44), 'max_depth': np.int64(12)}",paper,FairProjection,,0.5,0.5037593984962406,0.47795123929241223,True,completed_without_exception,convergence_not_observable,,0.05455021899251733,convergence_not_observable,,2.0,1.0,cross-entropy,tf,,,,
CRIME,5,0,1777,GBM,"{'reg_lambda': 0.1, 'reg_alpha': 10, 'num_leaves': np.int64(45), 'n_estimators': np.int64(177), 'min_child_samples': np.int64(44), 'max_depth': np.int64(12)}",paper,FairProjection,,0.75,0.5037593984962406,0.47795123929241223,True,completed_without_exception,convergence_not_observable,,0.05433130900200922,convergence_not_observable,,2.0,1.0,cross-entropy,tf,,,,
CRIME,5,0,1777,GBM,"{'reg_lambda': 0.1, 'reg_alpha': 10, 'num_leaves': np.int64(45), 'n_estimators': np.int64(177), 'min_child_samples': np.int64(44), 'max_depth': np.int64(12)}",paper,Fair-transport,,0.0,0.41353383458646614,0.13414263267271528,True,completed_without_exception,optimal,,0.07784515399544034,optimal,,,,,,3.533418557744028e-10,0.5917287515204934,CLARABEL,OSQP
