Dataset,K,Repetition,Seed,Model,TunedParameters,DataBudgetProtocol,Method,Epsilon,Alpha,Accuracy,Unfairness,OptimizerSuccess,OptimizerStatus,OptimizerMessage,OptimizerIterations,PostprocessRuntimeSeconds,Convergence,SolverResidual,ProjectionRho,ProjectionMaxIterRequested,ProjectionDivergence,ProjectionMethod,TransportCalibrationDPGap,TransportObjective,TransportMIPSolver,TransportQPSolver
DRUG,4,0,777,RF,"{'n_estimators': np.int64(189), 'min_samples_split': np.int64(10), 'min_samples_leaf': np.int64(5), 'max_depth': np.int64(6)}",paper,Fair-transport,,0.3,0.46153846153846156,0.24331459717254297,True,completed_without_exception,optimal,,0.04303527099546045,optimal,,,,,,0.22082978198098635,0.5555900311354587,CLARABEL,OSQP
DRUG,4,0,777,RF,"{'n_estimators': np.int64(189), 'min_samples_split': np.int64(10), 'min_samples_leaf': np.int64(5), 'max_depth': np.int64(6)}",paper,Fair-transport,,0.4,0.46153846153846156,0.24331459717254297,True,completed_without_exception,optimal,,0.04442645699600689,optimal,,,,,,0.22082978182819082,0.5555900311338704,CLARABEL,OSQP
DRUG,4,0,777,GBM,"{'reg_lambda': 0, 'reg_alpha': 5, 'num_leaves': np.int64(47), 'n_estimators': np.int64(20), 'min_child_samples': np.int64(41), 'max_depth': np.int64(10)}",paper,Unfair,,,0.4509283819628647,0.22091636859138133,True,not_applicable,not applicable,0.0,0.0,not_applicable,,,,,,,,,
DRUG,4,0,777,GBM,"{'reg_lambda': 0, 'reg_alpha': 5, 'num_leaves': np.int64(47), 'n_estimators': np.int64(20), 'min_child_samples': np.int64(41), 'max_depth': np.int64(10)}",paper,Our Eps-Fair,0.0,,0.44562334217506633,0.09640606370294669,True,0,Optimization terminated successfully,19.0,0.021810537000419572,completed_without_exception,,,,,,,,,
DRUG,4,0,777,GBM,"{'reg_lambda': 0, 'reg_alpha': 5, 'num_leaves': np.int64(47), 'n_estimators': np.int64(20), 'min_child_samples': np.int64(41), 'max_depth': np.int64(10)}",paper,Our Eps-Fair,0.1,,0.44562334217506633,0.16933515017316758,True,0,Optimization terminated successfully,14.0,0.01631740399170667,completed_without_exception,,,,,,,,,
DRUG,4,0,777,GBM,"{'reg_lambda': 0, 'reg_alpha': 5, 'num_leaves': np.int64(47), 'n_estimators': np.int64(20), 'min_child_samples': np.int64(41), 'max_depth': np.int64(10)}",paper,Our Eps-Fair,0.2,,0.4509283819628647,0.22091636859138133,True,0,Optimization terminated successfully,7.0,0.008123980005620979,completed_without_exception,,,,,,,,,
DRUG,4,0,777,GBM,"{'reg_lambda': 0, 'reg_alpha': 5, 'num_leaves': np.int64(47), 'n_estimators': np.int64(20), 'min_child_samples': np.int64(41), 'max_depth': np.int64(10)}",paper,Our Eps-Fair,0.3,,0.4509283819628647,0.22091636859138133,True,0,Optimization terminated successfully,1.0,0.0012386750022415072,completed_without_exception,,,,,,,,,
DRUG,4,0,777,GBM,"{'reg_lambda': 0, 'reg_alpha': 5, 'num_leaves': np.int64(47), 'n_estimators': np.int64(20), 'min_child_samples': np.int64(41), 'max_depth': np.int64(10)}",paper,Our Eps-Fair,0.4,,0.4509283819628647,0.22091636859138133,True,0,Optimization terminated successfully,1.0,0.0012205310049466789,completed_without_exception,,,,,,,,,
DRUG,4,0,777,GBM,"{'reg_lambda': 0, 'reg_alpha': 5, 'num_leaves': np.int64(47), 'n_estimators': np.int64(20), 'min_child_samples': np.int64(41), 'max_depth': np.int64(10)}",paper,Our Eps-Fair,0.5,,0.4509283819628647,0.22091636859138133,True,0,Optimization terminated successfully,1.0,0.0012023140006931499,completed_without_exception,,,,,,,,,
DRUG,4,0,777,GBM,"{'reg_lambda': 0, 'reg_alpha': 5, 'num_leaves': np.int64(47), 'n_estimators': np.int64(20), 'min_child_samples': np.int64(41), 'max_depth': np.int64(10)}",paper,FairProjection,,0.0,0.4509283819628647,0.1584057230454778,True,completed_without_exception,convergence_not_observable,,3.0057570489880163,convergence_not_observable,,2.0,500.0,cross-entropy,tf,,,,
DRUG,4,0,777,GBM,"{'reg_lambda': 0, 'reg_alpha': 5, 'num_leaves': np.int64(47), 'n_estimators': np.int64(20), 'min_child_samples': np.int64(41), 'max_depth': np.int64(10)}",paper,FairProjection,,0.1,0.4482758620689655,0.20220859592346563,True,completed_without_exception,convergence_not_observable,,3.0529246240039356,convergence_not_observable,,2.0,500.0,cross-entropy,tf,,,,
DRUG,4,0,777,GBM,"{'reg_lambda': 0, 'reg_alpha': 5, 'num_leaves': np.int64(47), 'n_estimators': np.int64(20), 'min_child_samples': np.int64(41), 'max_depth': np.int64(10)}",paper,FairProjection,,0.2,0.46153846153846156,0.17910066428206436,True,completed_without_exception,convergence_not_observable,,2.8972810010018293,convergence_not_observable,,2.0,500.0,cross-entropy,tf,,,,
DRUG,4,0,777,GBM,"{'reg_lambda': 0, 'reg_alpha': 5, 'num_leaves': np.int64(47), 'n_estimators': np.int64(20), 'min_child_samples': np.int64(41), 'max_depth': np.int64(10)}",paper,FairProjection,,0.5,0.4509283819628647,0.22091636859138133,True,completed_without_exception,convergence_not_observable,,3.0147876940027345,convergence_not_observable,,2.0,500.0,cross-entropy,tf,,,,
