Dataset,K,Model,Method,Epsilon,Alpha,AccuracyMean,AccuracyStd,UnfairnessMean,UnfairnessStd,RuntimeMean,RuntimeStd,Repetitions,OptimizerSuccessRate
CRIME,5,RF,Fair-transport,,0.2,0.4603174603174603,0.03096467424651259,0.262220477691714,0.0489385064776407,0.1369324999993599,0.05335707931482268,30,1.0
CRIME,5,RF,Fair-transport,,0.3,0.4857142857142857,0.026754737625089387,0.3568504904730388,0.03794921239261307,0.1435047200004192,0.0715299998932064,30,1.0
CRIME,5,RF,Fair-transport,,0.4,0.502673350041771,0.02670841699107808,0.4049705212857341,0.04689396234421609,0.12409911333343189,0.049983962777548595,30,1.0
CRIME,5,RF,FairProjection,,0.0,,,,,,,30,0.0
CRIME,5,RF,FairProjection,,0.1,,,,,,,30,0.0
CRIME,5,RF,FairProjection,,0.2,,,,,,,30,0.0
CRIME,5,RF,FairProjection,,0.5,,,,,,,30,0.0
CRIME,5,RF,FairProjection,,0.75,,,,,,,30,0.0
CRIME,5,RF,Our Eps-Fair,0.0,,0.3921470342522974,0.031169649748705484,0.07893607440927514,0.034493263195494166,0.04851223333377372,0.009622231502486317,30,1.0
CRIME,5,RF,Our Eps-Fair,0.1,,0.42656641604010026,0.03531783744695531,0.14865815618643932,0.051347039659944846,0.052574233333143636,0.01471471889217397,30,1.0
CRIME,5,RF,Our Eps-Fair,0.2,,0.4568086883876357,0.029264365698935643,0.25263355039313606,0.05038301667269956,0.051941273333432035,0.012725714426144646,30,1.0
CRIME,5,RF,Our Eps-Fair,0.3,,0.48680033416875523,0.0268862397701753,0.358584367689536,0.03854108461486149,0.04361899333343899,0.01255112666252305,30,1.0
CRIME,5,RF,Our Eps-Fair,0.4,,0.5017543859649123,0.026264503032454093,0.4041787815855333,0.04712998784798267,0.02092731000011554,0.011580891890105355,30,1.0
CRIME,5,RF,Our Eps-Fair,0.5,,0.5091896407685881,0.026237136790388298,0.4502874565030693,0.05663060240635499,0.006780163333314704,0.006911427555632357,30,1.0
CRIME,5,RF,Unfair,,,0.510609857978279,0.02713682588489787,0.4646639437403989,0.06362401221654952,0.0,0.0,30,1.0
CRIME,5,reglog,Fair-transport,,0.0,0.37243107769423556,0.03174709306281308,0.11657619708360761,0.0494850483795479,0.12976692333286338,0.010033335159499666,30,1.0
CRIME,5,reglog,Fair-transport,,0.1,0.4078529657477026,0.03609750676350079,0.17081260171815968,0.07050483780881252,0.139062306666771,0.05050136206667098,30,1.0
CRIME,5,reglog,Fair-transport,,0.2,0.4388471177944862,0.028112352105847966,0.26146554206649064,0.03396597210122216,0.12989967666641558,0.006535068920633251,30,1.0
CRIME,5,reglog,Fair-transport,,0.3,0.46365914786967416,0.02351085593896456,0.3414931532926123,0.0391514135838731,0.12768045666622735,0.00704718482369869,30,1.0
CRIME,5,reglog,Fair-transport,,0.4,0.483375104427736,0.019106810192355293,0.42984338509001885,0.0499488568854112,0.12422781000047205,0.014970117499245152,30,1.0
CRIME,5,reglog,FairProjection,,0.0,,,,,,,30,0.0
CRIME,5,reglog,FairProjection,,0.1,,,,,,,30,0.0
CRIME,5,reglog,FairProjection,,0.2,,,,,,,30,0.0
CRIME,5,reglog,FairProjection,,0.5,,,,,,,30,0.0
CRIME,5,reglog,FairProjection,,0.75,,,,,,,30,0.0
CRIME,5,reglog,Our Eps-Fair,0.0,,0.36357560568086883,0.026202854352847922,0.0816941348391627,0.029418158300069573,0.06669311333340981,0.015486342085330314,30,1.0
CRIME,5,reglog,Our Eps-Fair,0.1,,0.4034252297410192,0.02859464215133521,0.14913048845160595,0.043729703386133835,0.05463712000043112,0.008599408689465474,30,1.0
CRIME,5,reglog,Our Eps-Fair,0.2,,0.4363408521303258,0.029583966986957894,0.24776216067409848,0.03709942353646916,0.05829077333316188,0.016864396714694602,30,1.0
CRIME,5,reglog,Our Eps-Fair,0.3,,0.4644110275689223,0.024031595852141475,0.3430918266423392,0.038516253205595596,0.05510509333313773,0.020171570955971756,30,1.0
CRIME,5,reglog,Our Eps-Fair,0.4,,0.4819548872180451,0.01917941295711687,0.416366730676391,0.054711587117024216,0.02445777999976902,0.010693102987716306,30,1.0
CRIME,5,reglog,Our Eps-Fair,0.5,,0.48855472013366746,0.021559042674036216,0.4742819962794528,0.05011143247160238,0.014584676666830394,0.011459292758180197,30,1.0
CRIME,5,reglog,Unfair,,,0.49064327485380116,0.02364574241067889,0.5199020461825726,0.0672081932090138,0.0,0.0,30,1.0
DRUG,4,GBM,Fair-transport,,0.0,0.4347480106100796,0.024284285572298725,0.08806279452677,0.04687197681291444,0.11025818333340189,0.008751736839597781,30,1.0
DRUG,4,GBM,Fair-transport,,0.1,0.4531388152077807,0.024311578026526642,0.1566787789322281,0.04449923022358489,0.09183385333308251,0.008600855238092188,30,1.0
DRUG,4,GBM,Fair-transport,,0.2,0.45570291777188326,0.019484491202446823,0.2249787089081928,0.04070575794538591,0.09143655333355127,0.0078085901774128975,30,1.0
DRUG,4,GBM,Fair-transport,,0.3,0.4541998231653404,0.02163550498612627,0.23496091901814947,0.03646590605620588,0.08867953999930857,0.008083947926192016,30,1.0
DRUG,4,GBM,Fair-transport,,0.4,0.45384615384615384,0.02021719680546273,0.2381034841688904,0.03396750524926864,0.11241136000026017,0.07024440338454091,30,1.0
DRUG,4,GBM,FairProjection,,0.0,,,,,,,30,0.0
DRUG,4,GBM,FairProjection,,0.1,,,,,,,30,0.0
DRUG,4,GBM,FairProjection,,0.2,,,,,,,30,0.0
DRUG,4,GBM,FairProjection,,0.5,,,,,,,30,0.0
